scientific_name,tax_id,dir_name
Shewanella sp. W3-18-1,351745,Shewanella_putrefaciens_W3-18-1
Shewanella sp. ANA-3,94122,Shewanella_sp_ANA-3
Shewanella sp. MR-4,60480,Shewanella_sp_MR-4
Shewanella sp. MR-7,60481,Shewanella_sp_MR-7
Sinorhizobium medicae,110321,Sinorhizobium_medicae
Sinorhizobium meliloti 1021,266834,Sinorhizobium_meliloti_1021
Slackia heliotrinireducens DSM 20476,471855,Slackia_heliotrinireducens_DSM_20476
Stackebrandtia nassauensis DSM 44728,446470,Stackebrandtia_nassauensis_DSM_44728
Sulfolobus acidocaldarius DSM 639,330779,Sulfolobus_acidocaldarius_DSM_639
Synechococcus sp. PCC 7002,32049,Synechococcus_sp_PCC7002
Syntrophobacter fumaroxidans,119484,Syntrophobacter_fumaroxidans
Thermobispora bispora DSM 43833,469371,Thermobispora_bispora_DSM_43833
Thermosynechococcus elongatus BP-1,197221,Thermosynechococcus_elongatus_BP-1
Thermosynechococcus sp. NK55a,,Thermosynechococcus_sp_NAK55
Thermotoga maritima,2336,Thermotoga_maritima
Thiocapsa marina,244573,Thiocapsa_marina_DSM_5653T
Opitutaceae bacterium TAV1,278956,Verrucomicrobium_sp_TAV1
Opitutaceae bacterium TAV5,794903,Verrucomicrobium_sp_TAV5
Xylanimonas cellulosilytica DSM 15894,446471,Xylanimonas_cellulosilytica_DSM_15894
Yersinia enterocolitica,630,Yersinia_enterocolitica
Yersinia pestis CO92,214092,Yersinia_pestis_CO92
Yersinia pestis KIM10+,187410,Yersinia_pestis_KIM
,,Yersinia_pestis_Pestoides_F
Yersinia pseudotuberculosis IP 32953,273123,Yersinia_pseudotuberculosis_IP_32953
Yersinia pseudotuberculosis PB1/+,502801,Yersinia_pseudotuberculosis_PB1_Plus
